IP,POOL,WORKER
192.168.1.100,stratum-lb-usa48.btcguild.com,ASICMINER_1100
192.168.1.101,stratum-lb-usa48.btcguild.com,ASICMINER_1101
192.168.1.102,stratum-lb-usa48.btcguild.com,ASICMINER_1102
192.168.1.103,stratum-lb-usa48.btcguild.com,ASICMINER_1103
192.168.1.104,stratum-lb-usa48.btcguild.com,ASICMINER_1104
192.168.1.105,stratum-lb-usa48.btcguild.com,ASICMINER_1105
192.168.1.106,stratum-lb-usa48.btcguild.com,ASICMINER_1106
192.168.1.107,stratum-lb-usa48.btcguild.com,ASICMINER_1107
192.168.1.108,stratum-lb-usa48.btcguild.com,ASICMINER_1108
192.168.1.109,stratum-lb-usa48.btcguild.com,ASICMINER_1109
192.168.1.110,stratum-lb-usa48.btcguild.com,ASICMINER_1110
192.168.1.111,stratum-lb-usa48.btcguild.com,ASICMINER_1111
192.168.1.112,stratum-lb-usa48.btcguild.com,ASICMINER_1112
192.168.2.100,stratum-lb-usa48.btcguild.com,ASICMINER_2100
192.168.2.101,stratum-lb-usa48.btcguild.com,ASICMINER_2101
192.168.2.102,stratum-lb-usa48.btcguild.com,ASICMINER_2102
192.168.2.103,stratum-lb-usa48.btcguild.com,ASICMINER_2103
192.168.2.104,stratum-lb-usa48.btcguild.com,ASICMINER_2104
192.168.2.105,stratum-lb-usa48.btcguild.com,ASICMINER_2105
192.168.2.106,stratum-lb-usa48.btcguild.com,ASICMINER_2106
192.168.2.107,stratum-lb-usa48.btcguild.com,ASICMINER_2107
192.168.2.108,stratum-lb-usa48.btcguild.com,ASICMINER_2108
192.168.2.109,stratum-lb-usa48.btcguild.com,ASICMINER_2109
192.168.2.110,stratum-lb-usa48.btcguild.com,ASICMINER_2110
192.168.2.111,stratum-lb-usa48.btcguild.com,ASICMINER_2111
192.168.2.112,stratum-lb-usa48.btcguild.com,ASICMINER_2112
192.168.2.113,stratum-lb-usa48.btcguild.com,ASICMINER_2113
192.168.2.114,stratum-lb-usa48.btcguild.com,ASICMINER_2114
192.168.2.115,stratum-lb-usa48.btcguild.com,ASICMINER_2115
192.168.2.116,stratum-lb-usa48.btcguild.com,ASICMINER_2116
192.168.2.117,stratum-lb-usa48.btcguild.com,ASICMINER_2117
192.168.2.118,stratum-lb-usa48.btcguild.com,ASICMINER_2118
192.168.2.119,stratum-lb-usa48.btcguild.com,ASICMINER_2119
192.168.2.120,stratum-lb-usa48.btcguild.com,ASICMINER_2120
192.168.2.121,stratum-lb-usa48.btcguild.com,ASICMINER_2121
192.168.2.122,stratum-lb-usa48.btcguild.com,ASICMINER_2122
192.168.2.123,stratum-lb-usa48.btcguild.com,ASICMINER_2123
192.168.2.124,stratum-lb-usa48.btcguild.com,ASICMINER_2124
192.168.2.125,stratum-lb-usa48.btcguild.com,ASICMINER_2125
192.168.2.126,stratum-lb-usa48.btcguild.com,ASICMINER_2126
192.168.2.127,stratum-lb-usa48.btcguild.com,ASICMINER_2127
192.168.2.128,stratum-lb-usa48.btcguild.com,ASICMINER_2128
192.168.2.129,stratum-lb-usa48.btcguild.com,ASICMINER_2129
192.168.2.130,stratum-lb-usa48.btcguild.com,ASICMINER_2130
192.168.2.131,stratum-lb-usa48.btcguild.com,ASICMINER_2131
192.168.2.132,stratum-lb-usa48.btcguild.com,ASICMINER_2132
192.168.2.133,stratum-lb-usa48.btcguild.com,ASICMINER_2133
192.168.2.134,stratum-lb-usa48.btcguild.com,ASICMINER_2134
192.168.2.135,stratum-lb-usa48.btcguild.com,ASICMINER_2135
192.168.2.136,stratum-lb-usa48.btcguild.com,ASICMINER_2136
192.168.2.137,stratum-lb-usa48.btcguild.com,ASICMINER_2137
192.168.2.138,stratum-lb-usa48.btcguild.com,ASICMINER_2138
192.168.2.139,stratum-lb-usa48.btcguild.com,ASICMINER_2139
192.168.2.140,stratum-lb-usa48.btcguild.com,ASICMINER_2140
192.168.2.141,stratum-lb-usa48.btcguild.com,ASICMINER_2141
192.168.2.142,stratum-lb-usa48.btcguild.com,ASICMINER_2142
192.168.2.143,stratum-lb-usa48.btcguild.com,ASICMINER_2143
192.168.2.144,stratum-lb-usa48.btcguild.com,ASICMINER_2144
192.168.2.145,stratum-lb-usa48.btcguild.com,ASICMINER_2145
192.168.2.146,stratum-lb-usa48.btcguild.com,ASICMINER_2146
192.168.2.147,stratum-lb-usa48.btcguild.com,ASICMINER_2147
192.168.2.148,stratum-lb-usa48.btcguild.com,ASICMINER_2148
192.168.2.149,stratum-lb-usa48.btcguild.com,ASICMINER_2149
192.168.2.150,stratum-lb-usa48.btcguild.com,ASICMINER_2150
192.168.2.151,stratum-lb-usa48.btcguild.com,ASICMINER_2151
192.168.2.152,stratum-lb-usa48.btcguild.com,ASICMINER_2152
192.168.2.153,stratum-lb-usa48.btcguild.com,ASICMINER_2153
192.168.2.154,stratum-lb-usa48.btcguild.com,ASICMINER_2154
192.168.2.155,stratum-lb-usa48.btcguild.com,ASICMINER_2155
192.168.2.156,stratum-lb-usa48.btcguild.com,ASICMINER_2156
192.168.2.157,stratum-lb-usa48.btcguild.com,ASICMINER_2157
192.168.2.158,stratum-lb-usa48.btcguild.com,ASICMINER_2158
192.168.2.159,stratum-lb-usa48.btcguild.com,ASICMINER_2159
192.168.2.160,stratum-lb-usa48.btcguild.com,ASICMINER_2160
192.168.2.161,stratum-lb-usa48.btcguild.com,ASICMINER_2161
192.168.2.162,stratum-lb-usa48.btcguild.com,ASICMINER_2162
192.168.2.163,stratum-lb-usa48.btcguild.com,ASICMINER_2163
192.168.2.164,stratum-lb-usa48.btcguild.com,ASICMINER_2164
192.168.2.165,stratum-lb-usa48.btcguild.com,ASICMINER_2165
192.168.2.166,stratum-lb-usa48.btcguild.com,ASICMINER_2166
